energy_100g,fat_100g,saturated_fat_100g,trans_fat_100g,cholesterol_100g,carbohydrates_100g,sugars_100g,fiber_100g,proteins_100g,salt_100g,sodium_100g,vitamin_a_100g,vitamin_c_100g,calcium_100g,iron_100g
841.034627,6.039021,1.529547,0.000277,0.000093,24.169161,2.997554,1.23825,11.47282,1.249664,0.492004,2.26E-06,0.000129,0.001827,0.000061
354.198854,1.603456,0.554083,0.000077,0.000048,14.958828,6.478272,0.540715,2.307829,0.174432,0.068674,2.14E-06,0.00076,0.009672,0.000013
1359.117279,2.675139,0.944237,0.000188,0.000017,72.201996,62.438907,0.611059,2.034412,0.160385,0.063133,1.34E-07,0.000022,0.000586,0.000018
1468.668405,19.644055,4.89557,0.000225,0.000125,34.975077,11.716318,1.000242,8.062204,1.064935,0.419286,8.14E-07,0.000052,0.001321,0.000043
