TSNE1,TSNE2,Cluster
90.89942,-72.47276,1
-60.253033,16.414103,1
-110.370926,4.559618,0
106.5185,50.408127,2
-70.76909,-77.5189,1
49.331955,-96.187454,1
-27.3397,96.95091,3
55.33522,-105.01934,1
48.737232,-86.605156,1
62.33724,80.65761,3
-119.3341,7.5934467,0
-119.3341,7.5934467,0
-119.3341,7.5934467,0
58.580708,79.31035,3
57.351105,74.850975,3
-119.38936,7.6391683,0
-118.5368,7.3492994,0
-118.5368,7.3492994,0
-118.5368,7.3492994,0
27.868176,104.27112,3
81.51227,25.334858,2
90.58748,-42.94732,1
57.82626,75.570465,3
47.59028,93.62202,3
47.26939,90.14373,3
114.5815,8.347361,2
-44.53166,-12.295268,1
-12.479715,5.1444364,0
-119.3341,7.5934467,0
55.6013,84.98152,3
55.160297,93.04756,3
-15.524915,57.145454,0
-109.14669,40.43467,0
19.626513,84.32142,0
-119.38936,7.6391683,0
-3.7706184,-103.72388,1
-52.321,-23.153685,1
-35.350784,33.701122,0
-8.686831,-9.75409,1
38.226467,39.007473,1
25.157932,-65.385956,1
15.817526,-51.610683,1
52.35691,47.88617,3
19.727549,-35.920246,1
-32.758343,1.6320007,1
80.81712,3.6750464,2
38.226467,39.007473,1
-43.463272,-92.260605,1
-28.144562,10.815703,0
-37.26033,-18.277359,1
-31.480139,12.735036,1
114.5772,8.347736,2
-47.625706,-2.1512415,0
-63.50291,-30.176746,1
2.2741818,42.49352,0
-7.216628,65.134544,3
-9.133592,-108.82552,1
-9.133592,-108.82552,1
82.56995,21.546293,2
51.74788,-23.195532,1
-19.2693,-43.02104,1
19.928478,56.17122,0
13.46027,55.752674,0
16.693956,41.57844,0
12.681261,41.41236,1
61.88579,-97.63609,1
16.723293,41.60195,0
12.422646,38.85914,0
54.219498,-91.84577,1
-83.697495,77.49484,0
3.5083652,69.63476,1
-34.748447,-21.082783,1
86.028595,-13.63426,0
85.59655,-14.1721945,0
-48.754837,-39.438683,1
72.64611,-87.65656,1
72.64611,-87.65656,1
85.60212,-14.167394,0
72.49593,-87.515976,1
86.069984,-13.546743,0
26.530706,-113.50887,1
79.52029,-6.5002036,0
79.394295,-20.529778,0
26.530706,-113.50887,1
85.749954,-14.095619,0
72.49514,-87.51489,1
85.20711,-14.250513,0
85.35797,-13.822742,0
76.88855,-16.622715,0
77.00795,-17.139263,0
22.163408,-72.68713,1
17.042416,39.975773,0
14.811744,43.365276,0
16.94823,43.00746,0
14.963783,43.52484,0
16.2207,45.040012,0
66.8582,25.746904,2
12.254664,-120.83052,1
-48.322872,-74.45677,1
-48.303192,-74.44964,1
85.61295,-14.14756,0
45.482582,92.48293,3
-52.328064,-1.1015538,0
85.35868,-14.228796,0
85.85071,-13.555153,0
58.884247,-93.42902,1
85.51577,-13.6063385,0
85.18733,-14.253237,0
85.93096,-13.819327,0
77.007286,-17.139473,0
58.910667,-93.181786,1
17.707787,41.1124,0
86.88693,-10.579107,0
85.996796,-13.740678,0
72.64611,-87.65656,1
-64.48804,51.213226,0
11.712459,-67.659546,1
-20.939966,-22.894247,1
-15.373016,24.127228,1
71.22036,47.850628,2
71.22036,47.850628,2
71.220665,47.849007,2
-4.181563,-89.19135,1
98.999245,25.93956,2
47.26939,90.14373,3
85.53262,-14.168086,0
-46.417885,-0.07579091,0
89.6771,-51.90914,1
-23.476065,-100.879616,1
-18.788136,-112.31285,1
-23.550133,-100.70166,1
-17.091091,-103.63564,1
74.77739,-85.78736,1
51.946102,-93.81656,1
5.9071407,-112.01204,1
-30.371033,-104.9334,1
33.89502,43.224777,1
-16.367361,-30.168854,1
90.652374,-71.65667,1
71.20402,47.72201,2
43.53775,25.658195,1
-28.759907,-42.919098,1
40.441105,18.730528,1
112.360344,21.337435,2
-76.61066,91.08972,0
82.62585,-6.0685935,2
81.84132,-5.1807566,2
81.31531,-6.0468564,2
19.54235,76.02118,0
19.58123,75.83899,0
-4.368084,-88.95396,1
17.53171,-51.454918,1
16.607767,42.630524,0
17.672808,41.26214,0
16.103245,85.06944,3
15.991636,84.94666,0
16.063953,85.11117,3
16.063953,85.11117,3
15.975174,86.441086,3
-33.439312,4.6687346,1
-46.40286,-50.06298,1
-49.486927,-33.354652,1
-92.381714,-54.541588,1
-56.391747,-70.983986,1
115.76628,-13.466538,2
79.39513,-20.529682,0
79.39464,-20.529871,0
79.394226,-20.530138,0
-36.085907,5.6502523,1
43.222515,49.565777,1
11.029095,75.82531,0
68.6449,33.296494,2
53.184017,66.40891,2
53.39907,67.13296,2
0.9092762,42.70317,0
114.80064,62.443363,2
-11.655578,80.8451,0
-11.909112,81.136086,0
79.90507,-56.282978,1
30.546125,-77.54204,1
44.086777,-80.29925,1
53.797478,-93.93989,1
31.44635,-111.64664,1
54.313393,-92.50608,1
7.5306196,-79.00566,1
53.797478,-93.93989,1
52.82674,-90.153595,1
-14.9880705,-102.2114,1
-8.36553,-101.649704,1
42.567432,-60.93871,1
52.375847,-89.02049,1
-8.86183,-102.96239,1
-22.326082,-9.084821,1
-32.519535,-95.37007,1
-32.512897,-95.38244,1
59.582207,-93.02021,1
-82.10739,86.207756,0
-83.79602,31.107819,0
11.703816,-67.6637,1
69.176254,47.355045,2
-45.55599,-41.32018,1
-47.435013,-1.8616927,0
-46.559845,-53.115513,1
-22.72515,-58.35438,1
23.69344,1.7506694,1
-54.14098,-70.61481,1
26.262962,-111.74337,1
-27.959206,4.9056754,1
19.74322,-24.995436,1
53.921436,-82.895706,1
