energy_100g,fat_100g,saturated_fat_100g,trans_fat_100g,cholesterol_100g,carbohydrates_100g,sugars_100g,fiber_100g,proteins_100g,salt_100g,sodium_100g,vitamin_a_100g,vitamin_c_100g,calcium_100g,iron_100g
795.985334,7.237497,1.923577,0.00025,0.000115,18.341973,2.934636,0.920134,12.108194,1.531244,0.602865,2.72E-06,0.000149,0.002069,0.000059
429.553777,1.829954,0.581677,0.000104,0.000047,18.026961,6.059227,0.728892,3.080566,0.199779,0.078653,1.93E-06,0.00068,0.008686,0.000018
1348.064293,2.303756,0.868588,0.000192,0.000018,72.445011,62.850178,0.585697,1.955011,0.156646,0.06166,1.37E-07,0.000023,0.000582,0.000018
1517.970394,19.929563,4.859222,0.000241,0.000115,37.715724,13.218261,1.068423,7.631804,0.947849,0.373189,7.87E-07,0.000052,0.001346,0.000045
