energy_100g,fat_100g,saturated_fat_100g,trans_fat_100g,cholesterol_100g,carbohydrates_100g,sugars_100g,fiber_100g,proteins_100g,salt_100g,sodium_100g,vitamin_a_100g,vitamin_c_100g,calcium_100g,iron_100g
717.196045,5.25029,1.429503,0.000165,0.000067,25.047654,11.079074,0.781431,5.410575,0.571745,0.2251,0.000002,0.000427,0.005555,0.000029
1089.126923,16.278654,6.105769,0,0,1.246154,0.703846,0.134615,27.566154,4.054346,1.596199,0,0,0,0
2293.741935,33.379546,6.519355,0,0.000016,55.289567,53.246774,3.190226,5.36115,0.13473,0.053045,0,0,0,0
1908.451613,19.412903,1.909677,0,0,60.635484,51.808065,3.209677,8.246774,0.088096,0.034686,0,0,0,0
