PCA1,PCA2,Cluster
0.5110805415305527,-1.5197636510108767,1
-1.0298897481101794,-0.11438703096266829,1
-1.7372119241602455,0.9470658311741457,0
7.946570294403357,0.72289431964568,2
-0.7270018628557129,-1.9030490214634,1
0.22535947164008358,-1.6311770003333095,1
-0.005252258237281206,2.1476873114568544,3
0.26067814698036945,-1.6336464018044161,1
0.1990085728162506,-1.5800880620938567,1
1.2603437096528654,2.3347291222394113,3
-2.549257595699496,2.033539377131066,0
-2.549257595699496,2.033539377131066,0
-2.549257595699496,2.033539377131066,0
1.473541245052884,2.0455260898319336,3
2.103134390864208,1.6636992059872435,3
-2.613647184230386,2.1305438417454736,0
-2.290353726856868,3.0103309314881677,0
-2.290353726856868,3.0103309314881677,0
-2.290353726856868,3.0103309314881677,0
-1.2211535378030474,3.189458198196993,3
4.586721730890199,0.16347071247714529,2
1.5450863633509084,-1.1132596806506059,1
1.7965686556659946,1.824543256971297,3
2.56141912890517,3.327133972249724,3
2.1005283537455917,2.89694039412938,3
6.361611778916703,0.19347803212286607,2
-1.156124440815455,-0.6117140149686716,0
-1.0055715360911035,-0.40356340883862246,0
-2.549257595699496,2.033539377131066,0
2.1972101963285575,2.75135440885751,3
1.496732370469334,3.530785984348503,3
-1.073528647596861,1.603224705001868,3
-1.7162453774148887,0.9430055540713729,0
0.03955202101195289,1.9688080966361323,0
-2.613647184230386,2.1305438417454736,0
-0.04660171139890181,-1.6661634169758945,1
-0.8184562811477089,-0.9293945422875491,1
-1.0506843630655907,0.6272819968132075,0
-0.4926828656062393,-0.7963626140239377,1
-0.3170952527724389,-0.38070915643168807,0
0.2737901036712603,-1.483560038549353,1
0.0746433430836086,-1.270391468020046,1
0.34439321855784966,0.8626464854216438,3
0.06423840449052834,-1.0919657724273708,1
-0.7746777617773286,-0.9044135406141756,1
4.4518724169250925,0.2282976225421745,2
-0.3170952527724389,-0.38070915643168807,0
-0.3756782025225264,-1.7669517447388308,1
-1.1326895105733044,0.012493843983536833,0
-0.5871487431095174,-1.0262160723797114,1
