,Algorithm,Tuning,Feature Set,Number of Clusters,Silhouette Score,Davies-Bouldin Index,Calinski-Harabasz Index
0,K-means,Pre-tuning,Set 1,4,0.33649337193435713,1.370564510920517,20239.057475932907
1,K-means,Post-tuning,Set 1,4,0.3364950374447988,1.3705310912933761,20239.07430413003
2,Fuzzy C-Means,Pre-tuning,Set 1,2,0.2831004744474834,1.8477357874539897,10415.200401706179
3,Fuzzy C-Means,Post-tuning,Set 1,2,0.29096718401456995,1.8240517561952696,10579.484318546654
4,DBSCAN,Pre-tuning,Set 1,10,0.19930041144318503,1.272731819313402,238.75826931423092
5,DBSCAN,Post-tuning,Set 1,4,0.2769178737541194,1.6111721170716575,453.5385141369882
